Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND81288,Raymond Mills,24.0,34324.0,06-05-2019,Anthony Torres,American,Safety Technician IV,High,Jade,75384.77,17677.95,1.0,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1.0,2.0,1.0,1.0,1.0
IND65833,Julia Spencer,23.0,42205.0,10-12-2001,Jonathan Hawkins,African,Software Consultant,High,Jade,289834.31,17398.92,1.0,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1.0,3.0,2.0,1.0,2.0
IND47499,Stephen Murray,27.0,7314.0,25-01-2010,Anthony Berry,European,Help Desk Operator,High,Gold,169935.23,42825.9,2.0,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1.0,3.0,3.0,2.0,3.0
IND72498,Virginia Garza,40.0,34594.0,28-03-2019,Steve Diaz,American,Geologist II,Mid,Silver,356808.11,5473.15,2.0,4205.0,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0.0,4.0,4.0,1.0,4.0
IND60181,Melissa Sanders,46.0,41269.0,20-07-2012,Shawn Long,American,Assistant Professor,Mid,Platinum,130711.68,48077.6,1.0,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0.0,3.0,1.0,2.0,5.0
IND78532,Samuel Hudson,23.0,13204.0,07-02-2019,,American,Help Desk Technician,High,Silver,118326.96,6028.2,2.0,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1.0,2.0,1.0,1.0,6.0
IND95683,Timothy Alexander,46.0,,02-06-2002,Douglas Tucker,Asian,Account Coordinator,High,Gold,57336.47,13929.16,1.0,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1.0,1.0,1.0,2.0,7.0
IND40785,Carl Martin,78.0,6127.0,03-11-2000,Steve Diaz,European,Automation Specialist II,Mid,Gold,65125.8,31077.8,1.0,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0.0,2.0,,2.0,8.0
IND13570,Philip Day,67.0,32656.0,07-04-2015,Bruce Butler,Asian,Software Test Engineer II,High,Silver,87849.47,9385.35,1.0,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0.0,1.0,2.0,2.0,9.0
IND53299,Jason Sims,51.0,28340.0,20-11-1995,Joe Price,European,Geologist III,CLICK ,Silver,65369.36,27364.8,3.0,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2.0,1.0,3.0,1.0,10.0
IND76263,Amy Martinez,55.0,40459.0,18-10-2014,Adam Hernandez,European,Administrative Officer,High,Jade,74966.51,16928.73,1.0,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3.0,1.0,3.0,1.0,11.0
IND56452,David Johnston,73.0,25563.0,12-09-2005,Chris Armstrong,American,Database Administrator II,Mid,Jade,111449.06,17480.19,2.0,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0.0,2.0,3.0,2.0,12.0
IND28766,Wayne Foster,45.0,35687.0,17-03-2018,sat,African,Staff Scientist,Low,Silver,115637.19,10848.6,1.0,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3.0,1.0,3.0,2.0,13.0
IND17897,Carlos Moore,44.0,19554.0,02-01-1996,Paul Larson,,Programmer I,High,Jade,124434.78,26146.0,2.0,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0.0,2.0,3.0,2.0,14.0
IND86325,Lisa Johnston,36.0,33368.0,05-06-2020,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum,260795.34,11584.68,1.0,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1.0,2.0,3.0,1.0,15.0
IND74197,Andrew Mills,55.0,27913.0,06-01-2021,Shawn Wallace,European,Actuary,Mid,Silver,78892.52,32369.71,1.0,,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3.0,2.0,3.0,1.0,16.0
IND28503,mon,61.0,9505.0,22-06-2014,Ernest Rivera,Asian,Staff Accountant II,High,Silver,257120.22,16263.99,1.0,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1.0,3.0,4.0,2.0,17.0
IND56539,Aaron Day,56.0,36232.0,19-01-2020,Gregory Simmons,,Assistant Media Planner,Low,Jade,145704.55,3078.27,1.0,1895.06,384153.37,55118.87,25590.9,,10492.37,,3.0,1.0,4.0,2.0,18.0
IND53604,Kevin Weaver,43.0,6299.0,31-03-2019,Frank Brown,American,Staff Accountant I,Low,Jade,34404.16,19668.4,2.0,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3.0,1.0,3.0,2.0,19.0
IND32064,Mary Fox,63.0,7694.0,09-03-2009,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade,129060.88,,1.0,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2.0,4.0,1.0,2.0,20.0
IND72934,Carlos Little,41.0,38321.0,03-04-2020,Jonathan Hawkins,American,Geologist I,Low,Jade,129981.31,10242.84,2.0,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2.0,1.0,2.0,1.0,21.0
IND16101,Roger Boyd,58.0,12772.0,31-12-2015,Adam Hernandez,European,Web Designer II,High,Jade,123545.42,2984.52,1.0,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3.0,2.0,3.0,2.0,22.0
IND93121,Aaron Marshall,26.0,28661.0,14-01-2013,Ernest Rivera,American,Media Manager IV,Mid,Jade,308182.93,64332.66,1.0,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0.0,5.0,4.0,,1.0
IND93310,Cheryl Stewart,21.0,8767.0,23-05-2021,Victor Martinez,European,Accounting Assistant II,High,Gold,122579.41,10312.54,1.0,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1.0,2.0,1.0,1.0,2.0
IND71301,Anne Nguyen,41.0,14954.0,19-09-2021,,American,Programmer II,High,Jade,30942.07,4469.98,1.0,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0.0,1.0,1.0,2.0,3.0
IND21279,Christopher Evans,36.0,24058.0,20-03-2013,Adam Hernandez,European,Administrative Assistant IV,High,Jade,50651.56,8097.25,3.0,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3.0,1.0,1.0,2.0,4.0
IND98618,Maria Clark,34.0,8623.0,29-01-2014,Joe Hanson,Asian,Help Desk Operator,,low,502309.08,69381.0,2.0,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0.0,4.0,2.0,1.0,8.0
IND35589,Jimmy Simpson,52.0,38270.0,08-01-2018,George Lewis,European,Geological Engineer,High,Jade,87019.73,11316.5,,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1.0,1.0,2.0,2.0,9.0
IND40198,Louise Sanders,78.0,29119.0,24-05-2005,Shawn Cook,,Junior Executive,Low,Jade,246615.84,35332.0,3.0,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0.0,3.0,3.0,2.0,10.0
IND49616,Angela Alvarez,34.0,31338.0,22-08-2016,Patrick Graham,Australian,Biostatistician IV,Low,Jade,130023.36,15464.38,1.0,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0.0,1.0,3.0,1.0,11.0
IND55475,Henry Grant,75.0,21778.0,06-04-2013,,European,Software Test Engineer I,Low,Jade,82703.81,8635.67,2.0,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3.0,4.0,3.0,1.0,12.0
IND61272,Larry Foster,47.0,34773.0,10-12-2020,Raymond Alexander,European,Internal Auditor,High,Gold,137256.09,18322.92,2.0,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0.0,1.0,3.0,2.0,13.0
IND33884,Carol GoPKRalez,34.0,29287.0,29-05-2021,Carl Nguyen,European,Chemical Engineer,High,Platinum,224640.75,57090.72,3.0,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1.0,3.0,3.0,1.0,14.0
IND53121,,79.0,29278.0,15-02-2021,Joshua Little,American,Accountant III,High,unknown,147292.91,24297.42,1.0,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3.0,1.0,3.0,2.0,15.0
IND25680,Billy Wilson,73.0,99.0,25-09-2017,Dennis Morris,European,Registered Nurse,High,Platinum,263248.97,47651.76,2.0,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3.0,3.0,3.0,2.0,1.0
IND55454,Kathleen Riley,80.0,20746.0,28-11-2017,Benjamin Kim,European,Cost Accountant,Low,Jade,193690.93,11655.54,2.0,3610.42,50809.39,342138.31,255463.27,174627.4,,626121.9,2.0,2.0,4.0,1.0,2.0
IND96454,Bobby Jenkins,73.0,15809.0,05-03-2014,Nicholas Cunningham,European,Developer IV,Low,Gold,91243.05,37750.72,3.0,6660.85,122158.61,2137439.34,639548.78,,12504.17,411062.27,2.0,3.0,4.0,2.0,3.0
IND14292,Arthur Burns,51.0,30376.0,13-12-2005,low,Asian,Accounting Assistant II,Low,Platinum,162807.39,70394.4,1.0,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2.0,4.0,3.0,1.0,4.0
IND67206,Lawrence Richardson,49.0,38915.0,13-01-2012,Anthony Simpson,European,Junior Executive,Mid,Gold,193729.94,44815.46,2.0,,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2.0,3.0,1.0,2.0,5.0
IND90177,Julia Roberts,81.0,5659.0,08-11-2006,Victor Martinez,European,Software Engineer I,Mid,Platinum,131497.09,15962.66,1.0,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0.0,1.0,2.0,2.0,6.0
IND60970,Philip Fisher,27.0,28045.0,23-12-2001,Carl Nguyen,Asian,Accountant I,High,Gold,319205.91,49416.0,,9.55,0.0,309361.94,360077.01,135307.81,17710.52,945483.98,3.0,4.0,,1.0,7.0
IND24003,Jeffrey Taylor,56.0,16845.0,28-02-2020,Anthony Simpson,European,Automation Specialist IV,Mid,Silver,44088.51,32418.88,2.0,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1.0,2.0,4.0,2.0,8.0
IND87800,Mark Mccoy,33.0,20816.0,24-01-2008,Patrick Graham,European,Biostatistician I,High,Silver,420683.66,24472.55,1.0,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1.0,3.0,1.0,1.0,9.0
IND75987,Timothy Cook,79.0,30025.0,11-12-2006,Chris Armstrong,European,Nurse,Low,Jade,32062.52,19653.48,1.0,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0.0,1.0,1.0,2.0,10.0
IND70083,Larry Green,56.0,12219.0,28-08-2016,Benjamin Kim,European,Human Resources Manager,Mid,CLICK ,92487.65,23690.51,1.0,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2.0,1.0,1.0,1.0,11.0
IND31444,Edward Gordon,55.0,33457.0,31-01-2020,Victor Martinez,European,Analyst Programmer,Mid, n/a,130572.51,49441.92,1.0,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0.0,2.0,2.0,1.0,12.0
IND70450,Edward Evans,77.0,31049.0,21-07-2021,Gregory Simmons,Australian,Database Administrator III,High,Gold,54753.75,5311.0,1.0,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1.0,1.0,2.0,2.0,13.0
IND47520,Joseph Morrison,49.0,,16-03-2020,George Lewis,Australian,Web Designer III,Mid,Silver,180214.79,9226.35,2.0,587.71,791256.59,1988033.0,,783688.37,36763.45,1991318.1,2.0,2.0,3.0,2.0,14.0
IND69076,Kathy Wheeler,67.0,3711.0,12-11-1996,Anthony Torres,,Senior Editor,High,Jade,52826.78,26160.46,2.0,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2.0,1.0,3.0,2.0,15.0
IND53190,Amy Sims,66.0,30998.0,02-01-2007,Joshua Bennett,European,Health Coach III,Low,Gold,43622.88,19416.4,1.0,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0.0,1.0,3.0,1.0,16.0
IND58356,Sharon Warren,,3113.0,09-01-2018,Phillip Peters,African,Web Developer I,Mid,Silver,142841.26,5405.0,1.0,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0.0,2.0,3.0,1.0,17.0
IND33691,Nicholas Gilbert,49.0,30551.0,07-04-2009,,African,Systems Administrator III,High,Silver,90437.66,12737.4,3.0,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110.0,2.0,2.0,3.0,1.0,18.0
